QID,Attack_Path_Ref
105001,PATH-A-Step1
38689,PATH-A-Step2
90013,PATH-A-Step3
150220,PATH-A-Step4
11827,PATH-B-Step1
11831,PATH-B-Step2
200114,PATH-B-Step3
13398,PATH-B-Step4
200338,PATH-B-Step5
300011,PATH-C-Step1
300045,PATH-C-Step2
300067,PATH-C-Step3
43111,PATH-D-Step1
200401,PATH-D-Step2
90211,PATH-D-Step3
43287,PATH-D-Step4
200455,PATH-D-Step5
90344,PATH-E-Step1
90512,PATH-E-Step2
200512,PATH-E-Step3
45923,PATH-E-Step4
200533,PATH-E-Step5
150221,PATH-F-Step1
200601,PATH-F-Step2
150233,PATH-F-Step3
200622,PATH-F-Step4
105102,Standalone
200711,Standalone
43055,Standalone
200788,Standalone
43602,Standalone
200812,Standalone
