ci_id,name,zone,ip,platform,criticality,support_group,business_service
SRV-VL-1001,DC01,NET-VL-0010,10.20.10.10,Windows Server (AD DS),Crown Jewel,GRP-VL-IT,BSVC-VL-04
SRV-VL-1002,FILESRV01,NET-VL-0010,10.20.10.20,Windows Server,Business-Important,GRP-VL-IT,BSVC-VL-01
SRV-VL-1003,PRINT01,NET-VL-0010,10.20.10.30,Windows Server (Print Spooler),Standard,GRP-VL-IT,BSVC-VL-04
SRV-VL-1004,WKS-CLIN01,NET-VL-0010,10.20.10.60,Windows 10/11,Standard,GRP-VL-IT,BSVC-VL-04
SRV-VL-1011,PORTAL01,NET-VL-0020,10.20.20.10,Linux (Drupal),Business-Important,GRP-VL-NET,BSVC-VL-01
SRV-VL-1013,TELEHEALTH-GW01,NET-VL-0020,10.20.20.30,Linux (Video/Mail Relay),Business-Important,GRP-VL-NET,BSVC-VL-02
SRV-VL-1021,BILLING-APP01,NET-VL-0021,10.20.21.20,Linux,Standard,GRP-VL-APP,BSVC-VL-03
SRV-VL-1022,TELEHEALTH-APP01,NET-VL-0021,10.20.21.30,Linux (Java/Spring),High,GRP-VL-APP,BSVC-VL-02
SRV-VL-1040,INFUSION-GW01,NET-VL-0040,10.20.40.10,VxWorks RTOS (Alaris-class gateway),Crown Jewel,GRP-VL-CE,BSVC-VL-05
SRV-VL-1041,PACS-MODALITY01,NET-VL-0040,10.20.40.20,DICOM Imaging Modality,Crown Jewel,GRP-VL-CE,BSVC-VL-05
SRV-VL-1042,PHARMACY-DISPENSE01,NET-VL-0040,10.20.40.30,Windows (Dispensing Cabinet Controller),Crown Jewel,GRP-VL-CE,BSVC-VL-05
SRV-VL-1050,JUMP01,NET-VL-0050,10.20.50.10,Windows Server (Bastion),High,GRP-VL-IT,BSVC-VL-04
SRV-VL-1051,HYPERVISOR01,NET-VL-0050,10.20.50.20,VMware vCenter Appliance,High,GRP-VL-IT,BSVC-VL-04
SRV-VL-1052,BACKUP-MGR01,NET-VL-0050,10.20.50.30,Windows Server (Veeam),High,GRP-VL-IT,BSVC-VL-04
SRV-VL-1061,CLINIC-WKS01,NET-VL-0060,10.20.60.50,Windows 10/11,Standard,GRP-VL-NET,BSVC-VL-04
SRV-VL-1080,IMAGING-NAS01,NET-VL-0080,10.20.80.10,NAS Appliance,High,GRP-VL-IT,BSVC-VL-01
SRV-VL-1081,BACKUP-SRV01,NET-VL-0080,10.20.80.20,Windows Server,Business-Important,GRP-VL-IT,BSVC-VL-04
