QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Status,Compliance_Ref,CI_ID,Related_CI_IDs
150410,Adobe Commerce/Magento Improper Input Validation Remote Code Execution,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2022-24086,Missing Patch,10.40.20.10,WEB-SHOP01,20,DMZ / E-Commerce (internet-facing),443,HTTPS,"The public storefront runs an unpatched Adobe Commerce/Magento build vulnerable to the 'Cosmic Sting' checkout flow input validation flaw, allowing template/OS command injection during order placement.","Unauthenticated remote code execution as the web service account, giving an attacker a foothold inside the DMZ.",Apply the Adobe Commerce/Magento security patch (2.4.3-p2/2.4.4-p2 or later); enable a WAF rule set covering the checkout flow; run periodic CMS vulnerability scanning.,Yes,AppSec/Dev Team,Confirmed,PCI DSS 6.2,SRV-EL-1011,SRV-EL-1010
150411,Webshell Upload via Unrestricted Media Upload Endpoint,5,8.8,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,N/A (chained),Web Application,10.40.20.10,WEB-SHOP01,20,DMZ / E-Commerce (internet-facing),443,HTTPS,"Once a foothold is established, the storefront's media/import endpoint accepts .php files disguised with double extensions, allowing webshell placement.",Full remote code execution on the DMZ web server usable as a pivot point into internal networks.,Enforce server-side MIME/type validation and extension allow-listing; store uploads outside the web root; disable PHP execution in the uploads directory.,N/A,AppSec/Dev Team,Confirmed,PCI DSS 6.5.8,SRV-EL-1011,N/A
200114,Firewall ACL Permits DMZ-to-Corporate-LAN Traffic on All Ports (Excessive Firewall Rule),4,7.7,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Rules / Firewall,10.40.20.5,LB01,20 -> 10,DMZ / Corporate LAN,1-65535,ANY,"The firewall rule between the DMZ (VLAN 20) and the Corporate LAN (VLAN 10) is defined as 'DMZ-net ANY -> Corp-net ANY ALLOW' instead of restricting to the specific helpdesk ticket-sync port (8080) needed.","A foothold on any DMZ host can reach any port/service on any Corporate LAN host, drastically expanding the pivot surface beyond the intended helpdesk-only channel.",Rewrite the firewall policy to allow only the specific helpdesk-sync tuple; deny-all as default; document rule owners and review quarterly.,N/A,Network Team,Confirmed,PCI DSS 1.2.1,SRV-EL-1010,"SRV-EL-1011, SRV-EL-1002"
90013,Local Administrator Password Reuse Across Workstations and File Server,3,6.5,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.40.10.20,FILESRV01,10,Corporate LAN,"445,135",SMB/RPC,"The same local Administrator account password is used across FILESRV01, WKS-ACCT01, and WKS-SUPPORT01, discoverable via credential dumping after initial foothold.",Compromise of a single workstation credential allows pass-the-hash lateral movement to all machines sharing the password.,Deploy Microsoft LAPS to randomize and rotate local admin passwords per host; audit for shared local accounts.,N/A,IT Infrastructure Team,Confirmed,CIS Control 5.2,SRV-EL-1002,"SRV-EL-1003, SRV-EL-1004"
150420,Plaintext Service Account Credentials in Backup Script on File Share,4,7.3,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Secrets Management,10.40.10.20,FILESRV01,10,Corporate LAN,445,SMB,"A scheduled-task backup script stored on the '\\FILESRV01\IT-Scripts' share contains the 'svc_backup' account username and password in plaintext, left over from initial Veeam job configuration.","Any user who can reach the file share (directly or via lateral movement from a compromised workstation) can read the svc_backup credential; the same account is also valid as local Administrator on PAY-ADMIN01, so this leak hands over administrative access to the payment zone with no further exploitation needed.",Remove plaintext credentials from scripts; use Veeam's credential manager / a secrets vault with runtime injection; restrict the IT-Scripts share to the IT-Admins group only.,N/A,IT Infrastructure Team,Confirmed,PCI DSS 8.2.1,SRV-EL-1002,PAY-ADMIN01
90344,Weak Non-Rotated Password on Backup Service Account ('svc_backup'),4,7.5,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.40.10.50,BACKUP-MGR01,10,Corporate LAN,3389,RDP,"The 'svc_backup' domain account, used by BACKUP-MGR01 to run scheduled Veeam jobs, has a weak password that has not been rotated since initial deployment.",A cracked or recovered svc_backup credential can be reused wherever the account has been granted access.,Rotate to a 25+ character randomly generated password or migrate to a Group Managed Service Account; enable auditing on the account's authentication events.,N/A,IT Infrastructure Team,Confirmed,PCI DSS 8.2.3,SRV-EL-1005,N/A
200455,Backup Management Console Uses Default Installation Credentials,4,8.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Default Credentials,10.40.10.50,BACKUP-MGR01,10,Corporate LAN,9392,HTTPS (Veeam),The Veeam Backup & Replication console is still configured with the default installation service account password.,Access to backup infrastructure allows an attacker to browse/restore backup archives or tamper with backup jobs.,Change all default credentials immediately post-install as part of the hardening checklist; restrict console access with a jump-host requirement.,N/A,IT Infrastructure Team,Confirmed,CIS Control 5.2,SRV-EL-1005,N/A
200719,Backup Agent Account Granted Local Administrator on Payment-Zone Jump Host (Excessive Privilege),4,8.0,AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access,10.40.30.40,PAY-ADMIN01,30,Payment Processing Zone (PCI CDE),445,SMB,"The 'svc_backup' account, which authenticates from the Corporate LAN backup manager per RULE-EL-009, has been granted local Administrator rights on PAY-ADMIN01 rather than a scoped backup-operator role.","Any actor in possession of the svc_backup credential is granted full administrative control of a host inside the PCI CDE, not merely file-level backup access — collapsing the segmentation boundary the backup exception was meant to preserve.",Recreate the backup agent identity with the Veeam-specific least-privilege backup operator role; do not reuse a general-purpose domain service account for cross-zone backup jobs; require a dedicated non-domain credential for any CDE-facing service.,N/A,Payment Systems Team,Confirmed,PCI DSS 7.1 / 1.3,SRV-EL-1033,SRV-EL-1005
200720,Payment Zone Backup Path Crosses PCI Segmentation Boundary (Compliance Gap),3,6.4,AV:A/AC:H/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Compliance Gap),Compliance / Segmentation,10.40.30.0/24,Payment Processing Zone (CDE),30,Payment Processing Zone (PCI CDE),445,SMB,"Segmentation testing shows the PCI CDE (VLAN 30) is reachable from the Corporate LAN via the backup agent channel (RULE-EL-009), a path present in the network diagram but not scoped down to a dedicated backup network or jump host as PCI DSS segmentation testing guidance recommends.","The backup exception is a documented but under-controlled pathway into the CDE; combined with credential-hygiene issues on the account it depends on, it represents a realistic route into cardholder data systems and a likely QSA finding.","Terminate backup jobs into the CDE via a dedicated, tightly scoped jump host with MFA and session recording rather than a directly-addressable agent account; re-test segmentation before the next PCI assessment cycle.",N/A,Payment Systems Team / Network Team,Confirmed,PCI DSS 11.3.4,NET-EL-0030,RULE-EL-009
150233,Oracle Database Cardholder Data Stored Without Column-Level Encryption,4,7.4,AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,N/A (Misconfiguration),Data Protection,10.40.30.20,DB-PAY01,30,Payment Processing Zone (PCI CDE),1521,Oracle,"The 'CARDHOLDER_TXN' table stores primary account numbers (PANs) in cleartext columns rather than using column-level encryption or tokenization, relying solely on network isolation for protection.",Any authenticated access to the database yields cleartext cardholder data directly.,"Implement column-level encryption or tokenization for PAN fields via the HSM-GW01 key management service; restrict DB-level access to the payment switch service account only.",N/A,Payment Systems Team,Confirmed,PCI DSS 3.4,SRV-EL-1031,SRV-EL-1032
