ci_id,name,zone,ip,platform,criticality,support_group,business_service
SRV-GH-1001,DC01,NET-GH-0010,10.10.10.10,Windows Server (AD DS),Crown Jewel,GRP-GH-IT,BSVC-GH-04
SRV-GH-1002,FILESRV01,NET-GH-0010,10.10.10.20,Windows Server,Business-Important,GRP-GH-IT,BSVC-GH-01
SRV-GH-1003,WKS-HR02,NET-GH-0010,10.10.10.55,Windows 10/11,Standard,GRP-GH-IT,BSVC-GH-04
SRV-GH-1004,WKS-FIN01,NET-GH-0010,10.10.10.50,Windows 10/11,Standard,GRP-GH-IT,BSVC-GH-04
SRV-GH-1005,PRINT01,NET-GH-0010,10.10.10.30,Network Print Appliance,Standard,GRP-GH-IT,BSVC-GH-04
SRV-GH-1011,WEB-PORTAL01,NET-GH-0020,10.10.20.10,Linux (Apache),Business-Important,GRP-GH-NET,BSVC-GH-01
SRV-GH-1013,MAIL-RELAY01,NET-GH-0020,10.10.20.30,Windows Server (Exchange),Business-Important,GRP-GH-NET,BSVC-GH-04
SRV-GH-1020,APP-CRM01,NET-GH-0021,10.10.21.10,Linux (Apache Struts2),Business-Important,GRP-GH-APP,BSVC-GH-01
SRV-GH-1021,APP-HR01,NET-GH-0021,10.10.21.20,Linux,Standard,GRP-GH-APP,BSVC-GH-04
SRV-GH-1022,APP-TRADE01,NET-GH-0021,10.10.21.30,Linux (Java),High,GRP-GH-APP,BSVC-GH-02
SRV-GH-1040,TRADE-CORE01,NET-GH-0040,10.10.40.10,Windows Server,Crown Jewel,GRP-GH-GRC,BSVC-GH-02
SRV-GH-1041,SETTLEMENT01,NET-GH-0040,10.10.40.20,Linux,Crown Jewel,GRP-GH-GRC,BSVC-GH-02
SRV-GH-1042,SWIFT-GATEWAY01,NET-GH-0040,10.10.40.30,Linux (SWIFT Alliance Access),Crown Jewel,GRP-GH-GRC,BSVC-GH-03
SRV-GH-1050,JUMP01,NET-GH-0050,10.10.50.10,Windows Server (Bastion),High,GRP-GH-IT,BSVC-GH-04
SRV-GH-1051,VCENTER01,NET-GH-0050,10.10.50.20,VMware vCenter Appliance,High,GRP-GH-IT,BSVC-GH-04
SRV-GH-1052,BACKUP-MGR01,NET-GH-0050,10.10.50.30,Windows Server (Veeam),High,GRP-GH-IT,BSVC-GH-04
SRV-GH-1061,BRANCH-WKS01,NET-GH-0060,10.10.60.50,Windows 10/11,Standard,GRP-GH-NET,BSVC-GH-04
SRV-GH-1080,NAS01,NET-GH-0080,10.10.80.10,NAS Appliance,High,GRP-GH-IT,BSVC-GH-04
SRV-GH-1081,BACKUP-SRV01,NET-GH-0080,10.10.80.20,Windows Server,Business-Important,GRP-GH-IT,BSVC-GH-04
