QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Attack_Path_Ref,Status,Compliance_Ref
105001,Guest Wireless VLAN Not Isolated From Corporate LAN (VLAN Hopping via Misconfigured Trunk),4,7.4,AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Network Segmentation,10.10.70.1,GUEST-AP-SW01,70,Guest WiFi,N/A,802.1Q Trunk,Access switch port serving the Guest WiFi SSID is configured as an 802.1Q trunk allowing tagged frames for VLAN 10 (Corporate) instead of being locked to VLAN 70 access mode.,"An attacker on guest WiFi can send double-tagged/802.1Q frames to hop into the corporate VLAN, bypassing intended network segmentation entirely.",Reconfigure guest access ports as 'switchport mode access' locked to VLAN 70 only; disable DTP negotiation (switchport nonegotiate); implement private VLANs and enforce 802.1x on all access ports.,N/A,Network Team,PATH-A-Step1,Confirmed,PCI DSS 1.3.1 / NIST SC-7
38689,Microsoft SMBv1 Remote Code Execution (EternalBlue / MS17-010),5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2017-0144,Missing Patch,10.10.10.55,WKS-HR02,10,Corporate LAN,445,SMB,"The host has SMBv1 enabled and is missing MS17-010, making it vulnerable to the EternalBlue exploit used in WannaCry/NotPetya.","Unauthenticated remote code execution as SYSTEM, enabling ransomware deployment and lateral movement across the corporate LAN.",Apply MS17-010 / latest cumulative updates; disable SMBv1 via 'Set-SmbServerConfiguration -EnableSMB1Protocol $false'; restrict SMB (445/tcp) with host-based firewall between workstations.,Yes,IT Infrastructure Team,PATH-A-Step2,Confirmed,PCI DSS 6.2
90013,Local Administrator Password Reuse Across Workstations,3,6.5,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.10.10.20,FILESRV01,10,Corporate LAN,"445,135",SMB/RPC,"The same local Administrator account password is used across FILESRV01, WKS-HR02, and WKS-FIN01, discoverable via credential dumping (e.g., Mimikatz) after initial foothold.","Compromise of a single workstation credential allows pass-the-hash lateral movement to all machines sharing the password, including the file server holding HR/finance shares.",Deploy Microsoft LAPS (Local Administrator Password Solution) to randomize and rotate local admin passwords per host; audit for shared local accounts.,N/A,IT Infrastructure Team,PATH-A-Step3,Confirmed,CIS Control 5.2
150220,Excessive NTFS/SMB Share Permissions - 'Everyone' Full Control on HR Share,4,7.1,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access,10.10.10.20,FILESRV01,10,Corporate LAN,445,SMB,"The \\FILESRV01\HR-Confidential share grants 'Everyone: Full Control' at both the share and NTFS level, rather than being restricted to the HR security group.","Any authenticated (or in this case, hopped-VLAN) user can read/modify/delete confidential HR and payroll records.",Apply least-privilege ACLs restricting the share to the 'HR-Staff' AD group with Read-only for most members; remove 'Everyone' and 'Authenticated Users' broad grants; enable share auditing.,N/A,IT Infrastructure Team,PATH-A-Step4,Confirmed,PCI DSS 7.1 / ISO 27001 A.9.4
11827,WordPress Plugin 'Contact Form Pro' SQL Injection,5,9.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,CVE-2023-30777,Web Application,10.10.20.10,WEB-PORTAL01,20,DMZ,443,HTTPS,The public marketing site runs an outdated 'Contact Form Pro' plugin (v3.2) vulnerable to unauthenticated SQL injection in the submission handler.,"An attacker can extract the WordPress admin credential hash from the database and achieve full CMS takeover, leading to webshell upload.",Update the plugin to the latest patched version (>=3.6.1) or remove it if unused; enable a WAF rule set (OWASP CRS) on LB01; run periodic CMS/plugin vulnerability scanning.,Yes,AppSec Team,PATH-B-Step1,Confirmed,PCI DSS 6.5.1
11831,WordPress Admin Panel Webshell Upload via Unrestricted File Upload,5,8.8,AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CVE-2023-30778 (chained),Web Application,10.10.20.10,WEB-PORTAL01,20,DMZ,443,HTTPS,"Once authenticated as admin (via SQLi above), the media uploader accepts .php files disguised with double extensions (image.php.jpg), allowing webshell placement.","Full remote code execution on the DMZ web server, used as a pivot point into internal networks.",Enforce server-side MIME/type validation and extension allow-listing; store uploads outside the web root; disable PHP execution in the uploads directory via web server config.,N/A,AppSec Team,PATH-B-Step2,Confirmed,PCI DSS 6.5.8
200114,Load Balancer ACL Permits DMZ-to-AppTier Traffic on All Ports (Excessive Firewall Rule),4,7.7,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Rules / Firewall,10.10.20.5,LB01,20 -> 21,DMZ / App Tier,1-65535,ANY,The firewall rule between the DMZ zone and the App Tier (VLAN 21) is defined as 'DMZ-net ANY -> AppTier-net ANY ALLOW' instead of restricting to the specific reverse-proxy ports (8443) needed.,"A foothold on any DMZ host (e.g., WEB-PORTAL01) can reach any port/service on any App Tier host, drastically expanding the pivot surface instead of being limited to the load balancer's intended backend port.",Rewrite the firewall policy to allow only LB01 -> APP-CRM01:8443 and equivalent explicit tuples; deny-all as default; document rule owners and review quarterly.,N/A,Network Team,PATH-B-Step3,Confirmed,PCI DSS 1.2.1
13398,Apache Struts2 Remote Code Execution (Jakarta Multipart Parser),5,10.0,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2017-5638,Missing Patch,10.10.21.10,APP-CRM01,21,App Tier,8443,HTTPS,"The internal CRM application runs Apache Struts 2.3.x, vulnerable to the Content-Type header OGNL injection RCE made famous in the Equifax breach.","Unauthenticated remote code execution as the application service account, enabling database credential theft and further pivoting into the DB tier.","Upgrade Struts to a patched version (>=2.3.32 / 2.5.10.1 or later, ideally migrate off EOL Struts entirely); apply a WAF rule blocking anomalous Content-Type headers; run the app under a low-privilege dedicated service account.",Yes,AppSec Team,PATH-B-Step4,Confirmed,PCI DSS 6.2
200338,Application Service Account Has db_owner Rights on CRM Database (Excessive Privilege),4,7.6,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access,10.10.30.10,DB-CRM01,30,DB Tier,1433,MSSQL,The 'svc_crmapp' account used by APP-CRM01 to connect to DB-CRM01 has been granted the db_owner fixed database role instead of scoped read/write on specific tables.,"RCE on the app server yields full control over the CRM database (schema changes, data exfiltration, xp_cmdshell abuse for further OS-level pivoting).",Recreate the service account with least-privilege GRANTs limited to required stored procedures/tables; disable xp_cmdshell; enable SQL login auditing and alerting on DDL statements from app accounts.,N/A,DBA Team,PATH-B-Step5,Confirmed,PCI DSS 7.1.2
300011,AWS S3 Bucket Publicly Readable - Contains Configuration Backup With Embedded Credentials,5,8.6,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,N/A (Cloud Misconfiguration),Cloud Misconfiguration,N/A (s3://ghrab-public-assets),ghrab-public-assets,Cloud/AWS,AWS - us-east-1,443,HTTPS/S3 API,"The S3 bucket 'ghrab-public-assets', intended for marketing images, has a bucket policy granting 's3:GetObject' to Principal '*' and contains an accidentally-uploaded 'app-config-backup.zip' with AWS access/secret keys in plaintext.","Anyone on the internet can enumerate and download the bucket contents, harvesting long-lived IAM credentials.","Remove public read policy; enable S3 Block Public Access at the account level; scan buckets for secrets pre-upload (e.g., git-secrets/trufflehog in CI); rotate the exposed IAM keys immediately.",N/A,Cloud Team,PATH-C-Step1,Confirmed,PCI DSS 3.4 / CIS AWS 1.20
