QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Attack_Path_Ref,Status,Compliance_Ref,CI_ID,Related_CI_IDs
110001,Guest/Patient Wireless VLAN Not Isolated From Corporate LAN (Misconfigured Trunk),4,7.4,AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Network Segmentation,10.20.70.1,GUEST-AP-SW01,70,Guest/Patient WiFi,N/A,802.1Q Trunk,The access switch port serving the patient/guest WiFi SSID is configured as an 802.1Q trunk allowing tagged frames for VLAN 10 (Corporate) instead of being locked to VLAN 70 access mode.,"A patient or visitor on guest WiFi can send double-tagged 802.1Q frames to hop into the corporate VLAN, bypassing intended network segmentation entirely.",Reconfigure guest access ports as 'switchport mode access' locked to VLAN 70 only; disable DTP negotiation; implement private VLANs and enforce 802.1x on all access ports.,N/A,Network Team,PATH-A-Step1,Confirmed,HIPAA Security Rule 164.312(e),SRV-VL-1070,"SRV-VL-1003 (downstream, Path A)"
46587,Windows Print Spooler Remote Code Execution (PrintNightmare),5,8.8,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CVE-2021-34527,Missing Patch,10.20.10.30,PRINT01,10,Corporate LAN,"445,135",SMB/RPC (Print Spooler),"The shared print server has the Print Spooler service exposed and is missing the July 2021 out-of-band security update, making it vulnerable to PrintNightmare.","Remote code execution as SYSTEM on the print server, enabling lateral movement across the corporate LAN and access to any host with the spooler service running.",Apply the July 2021+ cumulative update; disable the Print Spooler service on servers that do not need it; restrict Point-and-Print to approved servers via Group Policy.,Yes,IT Infrastructure Team,PATH-A-Step2,Confirmed,HIPAA Security Rule 164.308(a)(5),SRV-VL-1003,"SRV-VL-1070 (upstream), SRV-VL-1002 (downstream)"
91022,Local Administrator Password Reuse Across Clinical Workstations,3,6.5,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access / Credential Hygiene,10.20.10.20,FILESRV01,10,Corporate LAN,"445,135",SMB/RPC,"The same local Administrator password is used across FILESRV01, nursing-station workstations, and admissions workstations, discoverable via credential dumping after initial foothold.","Compromise of a single clinical workstation allows pass-the-hash lateral movement to all machines sharing the password, including the file server holding scheduling and HR data.",Deploy Microsoft LAPS to randomize and rotate local admin passwords per host; audit for shared local accounts.,N/A,IT Infrastructure Team,PATH-A-Step3,Confirmed,CIS Control 5.2,SRV-VL-1002,SRV-VL-1003 (upstream)
150401,Excessive NTFS/SMB Share Permissions - 'Everyone' Full Control on Patient Scheduling Share,4,7.1,AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Access,10.20.10.20,FILESRV01,10,Corporate LAN,445,SMB,"The \\FILESRV01\Patient-Scheduling share grants 'Everyone: Full Control' at both the share and NTFS level, rather than being restricted to the scheduling/admissions security group.","Any authenticated (or in this case, VLAN-hopped) user can read, modify, or delete patient appointment and demographic data.",Apply least-privilege ACLs restricting the share to the appropriate AD group; remove 'Everyone' and 'Authenticated Users' broad grants; enable share auditing.,N/A,IT Infrastructure Team,PATH-A-Step4,Confirmed,HIPAA Security Rule 164.312(a)(1),SRV-VL-1002,N/A (terminal step)
12055,Drupal Core Remote Code Execution (Drupalgeddon2),5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2018-7600,Missing Patch,10.20.20.10,PORTAL01,20,DMZ,443,HTTPS,The public patient portal runs an outdated Drupal core version vulnerable to unauthenticated remote code execution via crafted form API render arrays.,"An attacker can achieve full web server compromise without any credentials, enabling webshell deployment and further internal pivoting.","Upgrade Drupal core to a patched release (>=7.58 / 8.5.1 or later, ideally migrate to a supported major version); apply a WAF rule set for known Drupalgeddon2 request patterns.",Yes,AppSec Team,PATH-B-Step1,Confirmed,HIPAA Security Rule 164.308(a)(1),SRV-VL-1011,"SRV-VL-1020 (downstream, Path B)"
12061,Patient Portal Webshell Upload Following RCE,5,8.8,AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CVE-2018-7600 (chained),Web Application,10.20.20.10,PORTAL01,20,DMZ,443,HTTPS,"Following exploitation of Drupalgeddon2, a PHP webshell was placed in the public files directory, which does not disable script execution.","Persistent remote code execution on the DMZ web server, used as a pivot point into internal networks even after the original RCE is patched.",Disable PHP execution in the public files/uploads directory via web server configuration; enforce file-integrity monitoring on the DMZ web root.,N/A,AppSec Team,PATH-B-Step2,Confirmed,HIPAA Security Rule 164.308(a)(1),SRV-VL-1011,"SRV-VL-1020 (downstream, Path B)"
200901,Load Balancer ACL Permits DMZ-to-AppTier Traffic on All Ports (Excessive Firewall Rule),4,7.7,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Excessive Rules / Firewall,10.20.20.5,LB01,20 -> 21,DMZ / App Tier,1-65535,ANY,The firewall rule between the DMZ zone and the App Tier (VLAN 21) is defined as 'DMZ-net ANY -> AppTier-net ANY ALLOW' instead of restricting to the specific backend port the load balancer actually needs.,"A foothold on any DMZ host can reach any port/service on any App Tier host, drastically expanding the pivot surface into the EHR application layer.",Rewrite the firewall policy to allow only LB01 -> EHR-APP01:7002 and equivalent explicit tuples; deny-all as default; document rule owners and review quarterly.,N/A,Network Team,PATH-B-Step3,Confirmed,HIPAA Security Rule 164.312(e),SRV-VL-1010,"SRV-VL-1011 (upstream), SRV-VL-1020 (downstream)"
20144,Oracle WebLogic Server Remote Code Execution,5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2020-14882,Missing Patch,10.20.21.10,EHR-APP01,21,App Tier,7002,HTTPS (WebLogic Console),"The Electronic Health Record application server runs on an unpatched Oracle WebLogic Server, vulnerable to unauthenticated remote code execution via a crafted console URL.","Unauthenticated remote code execution as the WebLogic service account, enabling direct access to the EHR database connection and patient record data.",Apply Oracle's Critical Patch Update (October 2020 CPU or later); restrict access to the WebLogic Administration Console to the management network only; place a WAF in front of the console path.,Yes,AppSec Team,PATH-B-Step4,Confirmed,HIPAA Security Rule 164.308(a)(1) - Critical,SRV-VL-1020,"SRV-VL-1011 (upstream), SRV-VL-1030 (downstream)"
200933,EHR Application Service Account Has db_owner Rights on EHR Database (Excessive Privilege),4,7.6,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Misconfiguration),Excessive Access,10.20.30.10,DB-EHR01,30,DB Tier,1433,MSSQL,The 'svc_ehrapp' account used by EHR-APP01 to connect to DB-EHR01 has been granted the db_owner fixed database role instead of scoped read/write on specific tables.,"RCE on the app server yields full control over the EHR database (schema changes, mass patient-record exfiltration, xp_cmdshell abuse for further OS-level pivoting).",Recreate the service account with least-privilege GRANTs limited to required stored procedures/tables; disable xp_cmdshell; enable SQL login auditing and alerting on DDL statements from app accounts.,N/A,DBA Team,PATH-B-Step5,Confirmed,HIPAA Security Rule 164.312(a)(1),SRV-VL-1030,SRV-VL-1020 (upstream)
300201,Azure Blob Storage Container Publicly Readable - Contains SAS Token Backup File,5,8.6,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,N/A (Cloud Misconfiguration),Cloud Misconfiguration,N/A (velon-imaging-archive),velon-imaging-archive,Cloud/Azure,Azure - East US,443,HTTPS / Blob API,"The Azure Blob Storage container 'velon-imaging-archive', intended for de-identified research images, has anonymous public read access enabled and contains an accidentally-uploaded 'app-settings-backup.json' file with a long-lived SAS token embedded in plaintext.","Anyone on the internet can enumerate and download the container contents, harvesting a SAS token with broad read/write access to other storage resources.",Set container public access level to Private; enable Azure Storage 'Secure transfer required' and Defender for Storage; scan repositories/configs for secrets pre-deployment; revoke and rotate the exposed SAS token immediately.,N/A,Cloud Team,PATH-C-Step1,Confirmed,HIPAA Security Rule 164.312(a)(1) / CIS Azure 3.1,CLD-VL-5001,"CLD-VL-5002 (downstream, Path C)"
