ci_id,name,zone,ip,platform,criticality,support_group,business_service
SRV-AB-1001,DC01,NET-AB-0010,10.20.10.10,Windows Server (AD DS),Crown Jewel,GRP-AB-IT,BSVC-AB-04
SRV-AB-1002,FILESRV01,NET-AB-0010,10.20.10.20,Windows Server,Business-Important,GRP-AB-IT,BSVC-AB-04
SRV-AB-1003,WKS-FIN01,NET-AB-0010,10.20.10.51,Windows 10/11,Standard,GRP-AB-IT,BSVC-AB-01
SRV-AB-1004,WKS-HR01,NET-AB-0010,10.20.10.52,Windows 10/11,Standard,GRP-AB-IT,BSVC-AB-04
SRV-AB-1005,WSUS01,NET-AB-0010,10.20.10.30,Windows Server,Business-Important,GRP-AB-IT,BSVC-AB-04
SRV-AB-1011,WEB-PORTAL01,NET-AB-0020,10.20.20.10,Linux (Apache),Business-Important,GRP-AB-NET,BSVC-AB-01
SRV-AB-1013,MAIL-RELAY01,NET-AB-0020,10.20.20.30,Windows Server (Exchange),Business-Important,GRP-AB-NET,BSVC-AB-04
SRV-AB-1020,APP-EBANK01,NET-AB-0021,10.20.21.10,Linux (Java/Spring),Business-Important,GRP-AB-APP,BSVC-AB-01
SRV-AB-1021,APP-HR01,NET-AB-0021,10.20.21.20,Linux,Standard,GRP-AB-APP,BSVC-AB-04
SRV-AB-1022,APP-PAY01,NET-AB-0021,10.20.21.30,Linux (Java),High,GRP-AB-APP,BSVC-AB-02
SRV-AB-1040,PAY-CORE01,NET-AB-0040,10.20.40.10,Windows Server,Crown Jewel,GRP-AB-GRC,BSVC-AB-02
SRV-AB-1041,SETTLEMENT01,NET-AB-0040,10.20.40.20,Linux,Crown Jewel,GRP-AB-GRC,BSVC-AB-02
SRV-AB-1042,SWIFT-GW01,NET-AB-0040,10.20.40.30,Linux (SWIFT Alliance Access),Crown Jewel,GRP-AB-GRC,BSVC-AB-03
SRV-AB-1050,JUMP01,NET-AB-0050,10.20.50.10,Windows Server (Bastion),High,GRP-AB-IT,BSVC-AB-04
SRV-AB-1051,VCENTER01,NET-AB-0050,10.20.50.20,VMware vCenter Appliance,High,GRP-AB-IT,BSVC-AB-04
SRV-AB-1052,BACKUP-MGR01,NET-AB-0050,10.20.50.30,Windows Server (Veeam),High,GRP-AB-IT,BSVC-AB-04
SRV-AB-1061,BRANCH-WKS01,NET-AB-0060,10.20.60.50,Windows 10/11,Standard,GRP-AB-NET,BSVC-AB-04
SRV-AB-1080,NAS01,NET-AB-0080,10.20.80.10,NAS Appliance,High,GRP-AB-IT,BSVC-AB-04
SRV-AB-1081,BACKUP-SRV01,NET-AB-0080,10.20.80.20,Windows Server,Business-Important,GRP-AB-IT,BSVC-AB-04
SRV-AB-1090,DR-PAY-CORE01,NET-AB-0090,10.30.90.10,Windows Server,High,GRP-AB-IT,BSVC-AB-02
SRV-AB-1091,DR-DB01,NET-AB-0090,10.30.90.20,Oracle,High,GRP-AB-DBA,BSVC-AB-02
SRV-AB-1092,ORPHAN-DECOM01,NET-AB-0090,10.30.90.99,Windows Server,Standard,GRP-AB-IT,BSVC-AB-04
