QID,Attack_Path_Ref
110001,PATH-A-Step1
46587,PATH-A-Step2
91022,PATH-A-Step3
150401,PATH-A-Step4
12055,PATH-B-Step1
12061,PATH-B-Step2
200901,PATH-B-Step3
20144,PATH-B-Step4
200933,PATH-B-Step5
300201,PATH-C-Step1
300214,PATH-C-Step2
300228,PATH-C-Step3
46840,PATH-D-Step1
200955,PATH-D-Step2
91145,PATH-D-Step3
46912,PATH-D-Step4
200977,PATH-D-Step5
91260,PATH-E-Step1
91278,PATH-E-Step2
200999,PATH-E-Step3
400012,PATH-E-Step4
201011,PATH-E-Step5
150455,PATH-F-Step1
201033,PATH-F-Step2
150467,PATH-F-Step3
201055,PATH-F-Step4
110102,Standalone
201077,Standalone
48113,Standalone
300251,Standalone
201099,Standalone
12078,Standalone
