QID,Title,Severity,CVSS_Base,CVSS_Vector,CVE_ID,Category,IP_Address,Hostname,VLAN_ID,Zone,Port,Service_Protocol,Description,Consequence,Remediation,Patch_Available,Responsible_Team,Status,Compliance_Ref,CI_ID,Related_CI_IDs
38701,Apache 2.4.49 Path Traversal to RCE (CVE-2021-41773),5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2021-41773,Missing Patch,10.20.20.10,WEB-PORTAL01,20,DMZ (internet-facing),443,HTTPS,Internet-facing Apache httpd is vulnerable to path traversal leading to unauthenticated remote code execution; a webshell can be dropped.,Unauthenticated attacker gains a foothold (webshell) on the DMZ web server.,Upgrade Apache to 2.4.51+; disable mod_cgi where unused.,Yes,Network Team,Confirmed,PCI DSS 6.2,SRV-AB-1011,
38702,"Microsoft Exchange SSRF to RCE (ProxyLogon, CVE-2021-34473)",5,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2021-34473,Missing Patch,10.20.20.30,MAIL-RELAY01,20,DMZ (internet-facing),443,HTTPS,Internet-facing Exchange is vulnerable to ProxyLogon SSRF chained to remote code execution; enables webshell and mailbox access.,Unauthenticated remote code execution on the mail relay in the DMZ.,Apply the Exchange cumulative update / security fix for CVE-2021-34473.,Yes,Network Team,Confirmed,PCI DSS 6.2,SRV-AB-1013,
300011,S3 Bucket Policy Grants Public Read (acmebank-public-assets),5,8.6,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,N/A (Cloud Misconfiguration),Cloud,N/A,acmebank-public-assets,Cloud,Cloud,443,HTTPS/AWS API,The S3 bucket policy grants public read access to anyone on the internet; a leaked database backup in the bucket contains AWS IAM role credentials.,Public exposure of stored data and leaked cloud credentials enabling further cloud access.,Remove public-read; enable S3 Block Public Access; rotate exposed credentials.,N/A,Cloud Team,Confirmed,PCI DSS 1.3 / DORA,CLD-AB-5001,CLD-AB-5002
300067,RDS Instance Publicly Accessible (acmebank-finance-rds),5,8.2,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,N/A (Cloud Misconfiguration),Cloud,N/A,acmebank-finance-rds,Cloud,Cloud,5432,PostgreSQL,The RDS database instance has the publicly-accessible flag enabled and is reachable from the internet on 5432.,Finance database directly reachable from the public internet.,Disable public accessibility; place RDS in a private subnet; restrict security groups.,N/A,Cloud Team,Confirmed,PCI DSS 1.3 / DORA,CLD-AB-5003,
105001,Guest Wireless VLAN Not Isolated From Corporate LAN (VLAN Hop via Trunk),4,7.4,AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Network Segmentation,10.20.70.1,GUEST-AP-SW01,70 -> 10,Guest WiFi,N/A,802.1Q Trunk,The guest access switch port is configured as an 802.1Q trunk allowing tagged frames for VLAN 10 (Corporate) instead of access-mode VLAN 70; an attacker on guest WiFi can VLAN-hop into the corporate LAN.,An untrusted guest attacker bypasses segmentation and reaches the corporate LAN.,Set guest ports to switchport mode access VLAN 70; disable DTP; enforce 802.1x.,N/A,Network Team,Confirmed,PCI DSS 1.3.1 / NIST SC-7,NGR-AB-2005,SRV-AB-1002
200114,Firewall Rule Overly Permissive: DMZ to App Tier ANY/ANY,4,7.5,AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N,N/A (Misconfiguration),Network Segmentation,10.20.20.1,PERIM-FW01,20 -> 21,DMZ,ANY,TCP,The as-configured firewall rule from the DMZ to the App tier is ANY/ANY rather than the intended LB-backend-only tcp/8443; any compromised DMZ host can reach every application server.,A DMZ foothold pivots freely into the internal application tier.,Scope the rule to tcp/8443 from the load balancer only.,N/A,Network Team,Confirmed,PCI DSS 1.2 / NIST SC-7,NGR-AB-2001,
200512,Flat Network Trust: Corporate LAN Reaches Payments/CDE Zone,5,8.1,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Misconfiguration),Network Segmentation,10.20.10.1,CORE-SW01,10 -> 40,Corporate LAN,ANY,Kerberos/LDAP/SMB,Flat trust with no PAM or tiering boundary lets the corporate LAN reach the Payments/CDE zone directly (Kerberos/LDAP/SMB); firewall rule allows any-any into the cardholder data environment.,Any compromised corporate host or Domain Admin reaches the CDE crown jewels directly.,Enforce tiered administration and a PAM boundary; deny corporate LAN into the CDE.,N/A,Compliance-GRC Team,Confirmed,PCI DSS 1.2 / SWIFT CSP 1.1,NGR-AB-2004,
200401,VPN Split-Tunnel Routes Remote Users Into Management VLAN,4,7.6,AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,N/A (Misconfiguration),Firewall,10.20.20.20,VPN-GW01,20 -> 50,DMZ,ANY,IPsec/SSL-VPN,The VPN client policy uses split-tunnel and routes remote users into the management VLAN 50; a compromised DMZ/VPN host can reach the out-of-band management plane (any-any).,Remote/DMZ compromise reaches the hypervisor and backup management plane.,Remove split-tunnel; deny VPN clients into the management VLAN; require jump-host access.,N/A,Network Team,Confirmed,PCI DSS 1.2 / SWIFT CSP 1.1,NGR-AB-2003,
90013,Shared Local Administrator Password Reuse (Pass-the-Hash),4,8.0,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,N/A (Weak Configuration),Credential,10.20.10.51,WKS-FIN01,10,Corporate LAN,445,SMB,"An identical local Administrator password is reused across WKS-FIN01, WKS-HR01 and FILESRV01 with no LAPS; the hash enables pass-the-hash lateral movement between these hosts.",Pass-the-hash lateral movement across corporate workstations and the file server.,Deploy LAPS; unique local admin passwords per host; restrict SMB.,N/A,IT Infrastructure Team,Confirmed,PCI DSS 8.2,SRV-AB-1003,"SRV-AB-1004, SRV-AB-1002"
90344,Kerberoastable Service Account svc_pay (Weak Password),4,8.1,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,N/A (Weak Configuration),Credential,10.20.21.30,APP-PAY01,21,App Tier,88,Kerberos,"The svc_pay service account is Kerberoastable with a weak, non-rotated password; offline cracking yields domain credentials that can be escalated toward domain admin.",Credential theft leading to domain-admin-level compromise.,Rotate to a long random password; use a gMSA; monitor for Kerberoasting.,N/A,AppSec Team,Confirmed,PCI DSS 8.2 / SWIFT CSP 4.1,SRV-AB-1022,
